program,num_threads,num_mesures,time
producerConsumer,2,1,0.05
producerConsumer,2,2,0.05
producerConsumer,4,1,0.03
producerConsumer,4,2,0.02
producerConsumer,8,1,0.01
producerConsumer,8,2,0.01
producerConsumer,16,1,0.02
producerConsumer,16,2,0.02
producerConsumer,32,1,0.01
producerConsumer,32,2,0.01
producerConsumer,64,1,0.01
producerConsumer,64,2,0.01
producerConsumer-my-functions,2,1,0.05
producerConsumer-my-functions,2,2,24.51
producerConsumer-my-functions,4,1,17.33
producerConsumer-my-functions,4,2,0.12
producerConsumer-my-functions,8,1,0.01
producerConsumer-my-functions,8,2,0.01
producerConsumer-my-functions,16,1,0.04
producerConsumer-my-functions,16,2,0.99
producerConsumer-my-functions,32,1,0.79
producerConsumer-my-functions,32,2,0.60
producerConsumer-my-functions,64,1,5.74
producerConsumer-my-functions,64,2,9.04
producerConsumer-tatas,2,1,0.31
producerConsumer-tatas,2,2,0.05
producerConsumer-tatas,4,1,0.03
producerConsumer-tatas,4,2,0.03
producerConsumer-tatas,8,1,0.17
producerConsumer-tatas,8,2,0.01
producerConsumer-tatas,16,1,0.20
producerConsumer-tatas,16,2,0.13
producerConsumer-tatas,32,1,0.21
producerConsumer-tatas,32,2,0.46
producerConsumer-tatas,64,1,1.37
producerConsumer-tatas,64,2,1.76